b'2023-05-02 10:32:35.897278   1285 ..' 
b'2023-05-02 10:32:48.926903   1298 ..' 
b'2023-05-02 10:32:49.929077   1299 .' 
b'2023-05-02 10:32:54.939959   1304 ..' 
b'2023-05-02 10:32:57.944953   1307 ..' 
b'2023-05-02 10:33:04.960523   1314 .' 
b'2023-05-02 10:33:13.980328   1323 ..' 
b'2023-05-02 10:33:16.988671   1326 ..' 
b'2023-05-02 10:33:17.990229   1327 ..' 
b'2023-05-02 10:33:19.993361   1329 ..' 
b'2023-05-02 10:33:31.017833   1340 ..' 
b'2023-05-02 10:33:33.021107   1342 .' 
b'2023-05-02 10:33:37.027607   1346 ..' 
b'2023-05-02 10:33:49.052450   1358 ..' 
b'2023-05-02 10:34:00.081407   1369 .' 
b'2023-05-02 10:34:04.091233   1373 ..' 
b'2023-05-02 10:34:10.103736   1379 .' 
b'2023-05-02 10:34:11.105701   1380 .' 
b'2023-05-02 10:34:20.127130   1389 ..' 
b'2023-05-02 10:34:24.137113   1393 .' 
b'2023-05-02 10:34:33.154045   1402 .' 
b'2023-05-02 10:34:36.160896   1405 .' 
b'2023-05-02 10:34:45.181394   1414 ..' 
b'2023-05-02 10:34:51.195352   1420 ..' 
b'2023-05-02 10:35:03.220656   1432 .' 
b'2023-05-02 10:35:05.225236   1434 .' 
b'2023-05-02 10:35:10.235329   1439 ..' 
b'2023-05-02 10:35:17.250122   1446 .' 
b'2023-05-02 10:35:19.256690   1448 ..' 
b'2023-05-02 10:35:20.259006   1449 ..' 
b'2023-05-02 10:35:27.273499   1456 ..' 
b'2023-05-02 10:35:31.280454   1460 .' 
b'2023-05-02 10:35:33.286052   1462 .' 
b'2023-05-02 10:35:43.311408   1472 ..' 
b'2023-05-02 10:35:44.314464   1473 ..' 
b'2023-05-02 10:35:47.321930   1476 ..' 
b'2023-05-02 10:35:48.323729   1477 ..' 
b'2023-05-02 10:35:51.328519   1480 .' 
b'2023-05-02 10:35:57.342432   1486 .' 
b'2023-05-02 10:35:59.347248   1488 .' 
b'2023-05-02 10:36:14.384153   1503 .' 
b'2023-05-02 10:36:20.396288   1509 ..' 
b'2023-05-02 10:36:29.417912   1518 ..' 
b'2023-05-02 10:36:33.428458   1522 ..' 
b'2023-05-02 10:36:42.447679   1531 .' 
b'2023-05-02 10:36:45.454342   1534 .' 
b'2023-05-02 10:36:59.484577   1548 ..' 
b'2023-05-02 10:37:01.488370   1550 .' 
b'2023-05-02 10:37:11.510228   1560 ..' 
b'2023-05-02 10:37:26.545405   1575 .' 
b'2023-05-02 10:37:27.547166   1576 ..' 
b'2023-05-02 10:37:31.556065   1580 ..' 
b'2023-05-02 10:37:32.558193   1581 ..' 
b'2023-05-02 10:37:33.560129   1582 .' 
b'2023-05-02 10:37:46.585047   1595 .' 
b'2023-05-02 10:37:48.589057   1597 .' 
b'2023-05-02 10:37:50.592899   1599 .' 
b'2023-05-02 10:37:52.596668   1601 ..' 
b'2023-05-02 10:37:54.600694   1603 .' 
b'2023-05-02 10:37:56.604718   1605 ..' 
